"settlement_id","lon","lat","type","settlement_score","capacity","sacred_tier","continent","source","coastal","on_river","population","coast_dist_km","is_port","degree","component","in_giant","from_junction","population_initial","hinterland_local","hinterland_regional","centrality_betweenness","accessibility","name_community","name","inkarnate"
"53",-38.305,41.495,"permanent",0.590202212333679,142.925033569336,0,"Canada","score",1,0,2060.52254721984,0.404087959749529,TRUE,48,1,TRUE,FALSE,4288,197825.498363495,412193.012420654,0.0723841091946091,33.8787726961999,3,"Okafi",NA
"54",-58.585,52.695,"permanent",0.509933650493622,125.966293334961,0,"Canada","score",1,0,4369.52341328241,3.68962387865922,TRUE,49,1,TRUE,FALSE,3779,263456.979248047,1121656.60289955,0,22.9958617140796,5,"Shemvei",NA
"55",-57.325,40.555,"permanent",0.621480524539948,142.836959838867,0,"Canada","score",1,0,11374.4089673884,7.28977731034323,TRUE,49,1,TRUE,FALSE,4285,833963.836486816,4333216.47646332,0.00465413628031281,22.8672763347347,4,"Ezwikaets",NA
"56",-105.485,48.845,"permanent",0.541738331317902,122.407615661621,0,"Canada","score",1,0,7430.27710085396,2.64113508613408,TRUE,24,1,TRUE,FALSE,3672,606155.443511963,3761899.35262108,0.000535101148981078,15.2992639236848,1,"Depaivaed",NA
"57",-72.335,55.425,"permanent",0.555182993412018,132.846710205078,0,"Canada","score",1,0,12367.1720659841,2.11215549088406,TRUE,46,1,TRUE,FALSE,3985,273865.044898987,2473976.61372757,0.140502803972489,16.1494524529488,5,"Pholeiwei",NA
"58",-93.285,50.485,"permanent",0.494067400693893,120.37272644043,0,"Canada","score",1,0,10523.9147257597,3.64419834414609,TRUE,29,1,TRUE,FALSE,3611,902275.384799957,6950122.06805801,0.00146675047086778,15.0550778899286,1,"Khibemvet",NA
"59",-74.725,53.625,"permanent",0.508984327316284,125.177375793457,0,"Canada","score",1,0,8507.22855979511,3.55744220652618,TRUE,40,1,TRUE,FALSE,3755,907825.225986481,6346457.62060928,0,16.7879810451971,5,"Weileipho",NA
"60",-82.225,52.735,"permanent",0.457028448581696,116.213363647461,0,"Canada","score",1,0,8223.76102000529,3.58496431583632,TRUE,34,1,TRUE,FALSE,3486,475385.973649979,1645112.012043,0.044574775077027,16.7701682634858,5,"Phauyipho",NA
"61",-36.825,40.165,"permanent",0.711473286151886,162.590576171875,0,"Canada","score",1,0,11924.5668651496,7.13758012772172,TRUE,50,1,TRUE,FALSE,4878,765026.370422363,2430338.20248413,0.0167898602579103,32.0442170069409,3,"Kegheghek",NA
"62",-39.935,37.885,"permanent",0.582678973674774,140.575134277344,0,"Canada","score",1,0,13614.829710331,1.69555379547458,TRUE,47,1,TRUE,FALSE,4217,552570.762039185,2723563.06434631,0.0821635073756899,35.0976147314172,3,"Oeneixash",NA
"63",-96.925,49.445,"permanent",0.554346203804016,128.0400390625,0,"Canada","score",1,0,15923.9345926375,2.62885419753619,TRUE,30,1,TRUE,FALSE,3841,761761.015228271,6239651.78326225,0.0391441354400464,13.9440801391819,1,"Yetsdebem",NA
"64",-63.525,52.145,"permanent",0.537049770355225,131.259231567383,0,"Canada","score",1,0,7322.62747274607,4.65343071673043,TRUE,50,1,TRUE,FALSE,3938,800724.936992645,3734949.14340973,5.30854314465355e-07,24.3401641144337,5,"Shemiveim",NA
"65",-38.935,38.635,"permanent",0.660463154315948,154.255813598633,0,"Canada","score",1,0,7100.07800735733,7.07478473404872,TRUE,48,1,TRUE,FALSE,4628,773107.169998169,1644265.26693726,0.000996413548251472,38.5096018363028,3,"Kaekegho",NA
"66",-42.305,41.035,"permanent",0.53958922624588,135.101898193359,0,"Canada","score",1,0,9151.81393181317,3.8892335337719,TRUE,47,1,TRUE,FALSE,4053,946613.616500854,5599014.74886703,1.77709801461498e-05,30.67390802525,3,"Ofeghnoi",NA
"67",-61.765,51.295,"permanent",0.508143603801727,125.418556213379,0,"Canada","score",1,0,6898.96166836343,0.958269903082727,TRUE,50,1,TRUE,FALSE,3763,305241.677961349,1453688.39834785,0.00429354969539579,25.3884500183437,5,"Weisaupho",NA
"68",-84.815,37.835,"permanent",0.55018025636673,126.989440917969,0,"Canada","score",0,1,8768.69002697304,670.104951832913,FALSE,6,1,TRUE,FALSE,3810,971293.437210083,6394463.17201996,0,19.3429431752385,6,"Meirpanai",NA
"69",-101.655,40.715,"permanent",0.574217438697815,128.204376220703,0,"Canada","score",0,1,9968.78894956519,570.098610801231,FALSE,8,1,TRUE,FALSE,3846,980207.038341522,8652938.54051018,0.000134381977890373,14.143005480495,2,"Meirutso",NA
"70",-86.925,40.945,"permanent",0.557727634906769,128.556060791016,0,"Canada","score",0,1,9160.47688361094,731.06744254977,FALSE,11,1,TRUE,FALSE,3857,1032579.42061615,7268425.47982025,2.66842768737919e-05,16.2105494936112,6,"Aiheigam",NA
"71",-81.305,36.055,"permanent",0.572031199932098,130.613906860352,0,"Canada","score",0,1,13116.4927366275,419.011928473314,FALSE,7,1,TRUE,FALSE,3918,970147.951019287,7896738.64941406,0.00440719140911735,14.2505731293526,6,"Haheimaim",NA
"72",-88.505,35.385,"permanent",0.534597396850586,122.927017211914,0,"Canada","score",0,1,12237.4891671632,538.485165889815,FALSE,5,1,TRUE,FALSE,3688,905434.747810364,7558911.6190567,0.00439547372377314,12.1367382724815,6,"Gammegaib",NA
"73",-88.975,37.475,"permanent",0.540417969226837,124.261924743652,0,"Canada","score",0,1,12872.9902123921,741.040620394414,FALSE,9,1,TRUE,FALSE,3728,935556.146430969,7667519.39068604,0.00518096115774368,13.7205882468973,6,"Haghegein",NA
"74",-106.885,44.935,"permanent",0.538505077362061,124.290748596191,0,"Canada","score",0,1,10089.0483470246,119.556339777613,FALSE,7,1,TRUE,FALSE,3729,1064401.28701782,7826453.45506287,0.000655074224050249,12.299357984777,1,"Paikhivi",NA
"75",-94.335,37.635,"permanent",0.548654198646545,124.691123962402,0,"Canada","score",0,1,7958.76629256117,888.678545611279,FALSE,6,1,TRUE,FALSE,3741,948513.97593689,5963001.24424744,0,12.8965930904937,2,"Didobop",NA
"76",-47.965,49.025,"permanent",0.61877965927124,146.045440673828,0,"Canada","score",0,1,8840.70393191121,146.619751829289,FALSE,4,1,TRUE,FALSE,4381,1324065.6662178,5665525.52621841,0,19.1074791191546,3,"Ghixeo",NA
"77",-83.435,37.835,"permanent",0.558561265468597,128.661804199219,0,"Canada","score",0,1,10381.9513949455,635.970257167889,FALSE,5,1,TRUE,FALSE,3860,981374.739135742,6310606.82264709,0.000999244771261954,19.7590900427227,6,"Panmehaon",NA
"78",-47.555,40.395,"permanent",0.630567014217377,147.829360961914,0,"Canada","score",0,1,11914.4608510592,109.426562608331,FALSE,3,1,TRUE,FALSE,4435,1181577.54734802,9992396.66139984,0.000210749162842746,17.7801565479603,3,"Akeghxe",NA
"79",-73.065,41.545,"permanent",0.607637405395508,138.752517700195,0,"Canada","score",0,1,11877.3198030821,335.367395256199,FALSE,5,1,TRUE,FALSE,4163,1116744.42511749,9735349.11631012,0.000722669673425504,13.0244661231659,6,"Kairauhei",NA
"80",-38.625,47.575,"permanent",0.721682250499725,163.495269775391,0,"Canada","score",0,1,13428.7517472512,41.958730267668,TRUE,52,1,TRUE,FALSE,4905,1421975.60823059,6458340.31776428,0.00199406575657007,30.9568036905321,7,"Deifarud",NA
"81",-94.935,38.895,"permanent",0.525807201862335,121.517776489258,0,"Canada","score",0,1,10940.7027748019,853.062724144199,FALSE,8,1,TRUE,FALSE,3646,927581.533760071,6366817.2809906,0.00293185532360876,14.0179401548273,2,"Miboptso",NA
"82",-113.475,36.665,"permanent",0.506170034408569,115.999549865723,0,"Canada","score",0,1,7803.56356648019,269.249783951179,FALSE,3,1,FALSE,FALSE,3480,787159.846317291,4199093.41791725,0.00144395798401122,9.53668679767744,1,"Ghaivipai",NA
"83",-59.005,41.135,"permanent",0.618131518363953,143.558639526367,0,"Canada","score",0,1,8624.06044667679,31.7174420959975,TRUE,49,1,TRUE,FALSE,4307,986732.417934418,4703449.29023933,0.000163680080293485,21.7761836919937,4,"Aimaekmbi",NA
"84",-47.695,50.035,"permanent",0.626305222511292,147.225387573242,0,"Canada","score",0,1,9769.36683399219,76.1376786978938,FALSE,3,1,TRUE,FALSE,4417,1374122.79792786,7361790.7827301,0,16.9395090639628,3,"Ghikaefae",NA
"85",-55.425,40.115,"permanent",0.613218903541565,143.562072753906,0,"Canada","score",0,1,10488.8169678155,95.2955958915885,FALSE,6,1,TRUE,FALSE,4307,1128690.15483856,8274167.12296295,4.97233541215883e-05,18.9490730107606,4,"Epghaunez",NA
"86",-103.365,31.785,"permanent",0.528831958770752,119.197731018066,0,"Canada","score",0,1,7499.83259784827,238.57862710967,FALSE,2,1,TRUE,FALSE,3576,484252.586921692,4574191.24669266,0.000722492721987349,8.3783337989006,1,"Paivaedvi",NA
"87",-97.555,40.105,"permanent",0.562894344329834,126.605758666992,0,"Canada","score",0,1,11947.1033390487,688.245506272035,FALSE,11,1,TRUE,FALSE,3798,980946.790351868,8313263.0885582,0.00172368667275651,15.8388063423605,2,"Dotsippo",NA
"88",-105.985,41.905,"permanent",0.565685272216797,126.777397155762,0,"Canada","score",0,1,9345.42891912802,347.952907958671,FALSE,8,1,TRUE,FALSE,3803,1006409.31314278,7734960.02983093,0.000193230970465389,12.0308032810404,2,"Moomi",NA
"89",-40.275,46.965,"permanent",0.638140618801117,150.842376708984,0,"Canada","score",0,1,10338.2493144952,207.474938397987,FALSE,4,1,TRUE,FALSE,4525,1308261.20729446,7362791.25159073,0,23.2323836290854,7,"Forathya",NA
"90",-115.585,40.865,"permanent",0.462949931621552,111.145690917969,0,"Canada","score",0,0,12265.2586303186,221.747753624577,FALSE,1,1,FALSE,FALSE,3334,926632.791717529,8078965.45268631,0.00671021479070109,9.17472639133051,1,"Idebem",NA
"91",-81.885,42.545,"permanent",0.484152108430862,119.732406616211,0,"Canada","score",0,0,14865.7506312154,625.236129418967,FALSE,3,1,TRUE,FALSE,3592,1047444.50874329,7825568.94497681,0.0156358569761364,13.4489426299522,6,"Hapanmaim",NA
"92",-35.975,47.535,"permanent",0.55354243516922,138.433883666992,0,"Canada","score",0,0,9833.3055243575,105.270531008158,FALSE,3,1,TRUE,FALSE,4153,1310116.45036316,7148901.08208084,0,23.3917915702594,7,"Fadeirov",NA
"93",-109.395,37.945,"permanent",0.492034494876862,115.210548400879,0,"Canada","score",0,0,5683.41062072122,569.666869166248,FALSE,2,1,FALSE,FALSE,3456,505943.907588959,3521042.34939575,0,7.44554227092219,1,"Wenaefing",NA
"94",-49.025,47.495,"permanent",0.524254679679871,131.350021362305,0,"Canada","score",0,0,10685.3343284027,336.553177369156,FALSE,5,1,TRUE,FALSE,3941,1263497.04886627,4806579.90482521,0.00288360063617581,21.8609676781995,3,"Ghiighek",NA
"95",-49.435,36.895,"permanent",0.535597801208496,133.327545166016,0,"Canada","score",0,0,17206.9987959698,45.0257216260439,TRUE,47,1,TRUE,FALSE,4000,1092748.94410706,8277084.29940796,0.0180076400552938,19.5866683603864,3,"Anoneixi",NA
"96",-75.975,33.935,"permanent",0.49611222743988,120.221206665039,0,"Canada","score",0,0,7409.99380675004,83.2529192595217,FALSE,5,1,TRUE,FALSE,3607,933177.554382324,4932918.32334518,1.59256294339607e-05,14.9472439243137,6,"Hamaizai",NA
"97",-87.325,39.415,"permanent",0.437098056077957,110.823570251465,0,"Canada","score",0,0,9211.64229439502,873.057150414045,FALSE,8,1,TRUE,FALSE,3325,940798.314849854,5939757.01126862,0.0012186645545743,14.2174130705125,6,"Aigeinha",NA
"98",-49.135,46.535,"permanent",0.543497443199158,134.260452270508,0,"Canada","score",0,0,15939.1550472221,446.007521707957,FALSE,4,1,TRUE,FALSE,4028,1269191.682724,8233431.35551453,0.00967535073544561,21.1108744578455,3,"Nofaeghii",NA
"99",-39.275,45.495,"permanent",0.585463404655457,142.970779418945,0,"Canada","score",0,0,13125.5955889955,119.441683429321,FALSE,3,1,TRUE,FALSE,4289,1294525.66342163,9191507.07758713,0.00107267961809634,21.9242989693051,7,"Rovrudtha",NA
"100",-56.435,37.715,"permanent",0.56107896566391,135.576354980469,0,"Canada","score",0,0,16623.3863267756,329.59051377806,FALSE,8,1,TRUE,FALSE,4067,1056719.18120575,9540244.14286041,0.00837097318747314,20.0216452333255,4,"Aikwiepor",NA
"101",-83.555,31.345,"permanent",0.437322348356247,109.391403198242,0,"Canada","score",0,0,6782.13044141546,28.807527318337,TRUE,13,1,TRUE,FALSE,3282,743631.032251358,4541746.63810158,0.000146515790792438,10.8700979329024,6,"Aimaizme",NA
"102",-74.485,33.735,"permanent",0.47241735458374,116.93879699707,0,"Canada","score",0,0,6609.92967553201,25.5603821289127,TRUE,40,1,TRUE,FALSE,3508,786680.781005859,3602745.23581696,0.000103162688444434,15.6466298873601,6,"Geingheme",NA
"103",-55.085,33.935,"permanent",0.541163980960846,132.522308349609,0,"Canada","score",0,0,14102.6900639708,106.803016149429,FALSE,7,1,TRUE,FALSE,3976,1006939.24951935,8123557.95128632,0.00488485290437941,18.7904438238786,4,"Aikpaumbi",NA
"104",-82.575,43.935,"permanent",0.468548059463501,117.503532409668,0,"Canada","score",0,0,14965.4122865121,477.059363450198,FALSE,3,1,TRUE,FALSE,3525,1103508.98809052,7950341.72929382,0.0163439817009596,13.6109070222372,6,"Baukaighe",NA
"105",-78.635,34.245,"permanent",0.510956943035126,121.880729675293,0,"Canada","score",0,0,9870.33345223818,181.160441488713,FALSE,5,1,TRUE,FALSE,3656,916753.08631134,6213108.44718933,0.00145772594752187,13.0750328419007,6,"Ghaheigam",NA
"106",-70.625,36.295,"permanent",0.509532928466797,124.137718200684,0,"Canada","score",0,0,9308.87858124339,183.565691536714,FALSE,4,1,TRUE,FALSE,3724,973651.942672729,8789608.43411255,0,11.8864896740667,6,"Panairau",NA
"107",-94.125,51.375,"permanent",0.522294223308563,125.265899658203,0,"Canada","score",0,0,8216.29600400258,68.0330653633931,FALSE,2,1,TRUE,FALSE,3758,938224.215702057,6350241.41158295,0,13.1325612905295,1,"Khiikhaid",NA
"108",-49.705,48.605,"permanent",0.605488419532776,143.683441162109,0,"Canada","score",0,0,12453.8016663563,233.596676258686,FALSE,4,1,TRUE,FALSE,4311,1309888.72807312,7008897.69314575,0.00216429304007525,19.9842428746084,3,"Afaeghii",NA
